Symbol,Nr_Mentioned
CLOV,363
WKHS,223
GME,186
AMC,143
CLNE,129
FORD,103
BB,101
PLTR,96
GSAT,64
CRSR,59
KBH,55
AMD,50
TLRY,47
RKT,39
DKNG,38
TSLA,37
PRPL,30
CLF,29
SNDL,28
SPCE,27
BABA,23
RAD,23
CCS,21
ASO,20
MU,18
NKLA,18
NIO,16
SI,15
GM,13
SPOT,13
AAPL,11
LEN,11
NVDA,11
UPS,11
KB,10
TX,10
SHOP,9
TA,9
TREE,9
AMZN,8
FLGT,8
RNG,8
CC,7
HA,7
CBD,6
NOK,6
BP,5
FIT,5
LEVI,5
PLYA,5
RIOT,5
RSI,5
Z,5
ACB,4
AHH,4
ATOS,4
CCL,4
CGC,4
CRWD,4
FUBO,4
GRIN,4
ITUB,4
NOM,4
NUE,4
SR,4
SRNE,4
SU,4
AB,3
ADBE,3
BBBY,3
BBY,3
BLNK,3
CAT,3
DCF,3
DDI,3
DELL,3
FIZZ,3
GE,3
IQ,3
JD,3
OCGN,3
OGS,3
PACE,3
PEG,3
PHM,3
REV,3
ROKU,3
SQ,3
ST,3
STLD,3
THY,3
TM,3
UNIT,3
ABCL,2
ALT,2
AMCI,2
ARI,2
BAM,2
BCRX,2
BGS,2
CD,2
DB,2
DHI,2
DIS,2
DOC,2
DOCU,2
EFT,2
EH,2
ELY,2
ESP,2
FT,2
GD,2
GT,2
HBI,2
HOG,2
IDEX,2
INTC,2
IR,2
IX,2
JP,2
KMX,2
LOGI,2
LULU,2
MAT,2
MHO,2
MIC,2
MOS,2
MRNA,2
MSFT,2
MSM,2
MT,2
MVIS,2
NAT,2
NFLX,2
NNDM,2
OPT,2
OSK,2
PROS,2
RAVE,2
RICE,2
ROOT,2
SAND,2
SD,2
SIRI,2
SP,2
TEF,2
TGT,2
THC,2
TXT,2
UPST,2
WIRE,2
WWE,2
ABNB,1
AC,1
AGCO,1
AL,1
AMT,1
APPN,1
ARC,1
ATI,1
AVXL,1
BBIG,1
BJ,1
CAL,1
CARG,1
CCIV,1
CEN,1
CEV,1
CHI,1
CI,1
CM,1
CMS,1
CNHI,1
CNO,1
COE,1
CPT,1
DAN,1
DISH,1
DK,1
DM,1
DS,1
ELYS,1
ENO,1
ES,1
EW,1
FAX,1
FB,1
FRA,1
FSD,1
FSR,1
FUSE,1
GEOS,1
GIS,1
GMBL,1
GS,1
HALO,1
HD,1
HEI,1
HR,1
HRB,1
IBM,1
IGT,1
INS,1
IPA,1
IPOD,1
JAZZ,1
JMIA,1
LE,1
LI,1
LTC,1
LUV,1
LZB,1
MAR,1
MARA,1
MDC,1
MEI,1
MELI,1
MUI,1
MX,1
NGL,1
NOVA,1
NRG,1
NVAX,1
NYC,1
OC,1
OPK,1
OSB,1
PB,1
PCG,1
PD,1
PDT,1
PEN,1
PENN,1
PHD,1
PINE,1
PINS,1
PLOW,1
POSH,1
PRLB,1
PROF,1
PS,1
PTON,1
QS,1
QUAD,1
RAIL,1
RAMP,1
RAVN,1
RTX,1
SA,1
SAIL,1
SENS,1
SKLZ,1
SLAB,1
SMHI,1
SNAP,1
SNOW,1
SOL,1
SOR,1
SOS,1
SUM,1
SURF,1
TACT,1
TIG,1
TOL,1
TOPS,1
TRCH,1
TSM,1
TT,1
TTM,1
TU,1
TUP,1
TWIN,1
UAA,1
USWS,1
UXIN,1
VALE,1
VUZI,1
VXRT,1
WEN,1
WGO,1
WIT,1
WRAP,1
XLNX,1
XOM,1
XPEV,1
